timestamp_ms,elapsed_s,raw_line,state,pot,vbus,duty,step,tp,zc_count,synced,missed,bemf_a,bemf_b,bemf_c,dc1,io1,io2,io3,ic_accepted,ic_lcout_accepted,ic_false,ic_captures,ic_chatter,tp_hr,zc_interval,zc_interval_hr,prev_zc_interval,ic_phase,ic_filter_level,forced_steps,erpm,duty_pct_x10,ia_raw,ib_raw,ibus_raw,ia_mA,ib_mA,ibus_mA,fault_code,d_ic_accepted,d_ic_lcout_accepted,d_ic_false,d_ic_captures,d_ic_chatter,ic_accept_rate,ic_false_rate
1773758103590,27.218,S:CL P:2832 V:14240 D:1114 St:4 Tp:17 ZC:28000 SYN Miss:0 B:111 DC1:1117 IO:3400/0000/3400 FP:27700/BK:0/0 Cyc:41476 TpHR:1448 ZcI:17 ZcIHR:1797 PZcI:23 Ph:1 FL:4 Frc:0 eRPM:10768 D%:111 Ia:-192 Ib:-144 Ibus:848,CL,2832,14240,1114,4,17,28000,1,0,1,1,1,1117,13312,0,13312,27700,0,0,41476,,1448,17,1797,23,,4,0,10768,111,-192,-144,848,-201,-151,890,,106,0,0,6376,0,1.7,0.0
1773758103689,27.317,S:CL P:2832 V:14240 D:1114 St:3 Tp:17 ZC:28106 SYN Miss:0 B:110 DC1:1117 IO:3000/3400/0000 FP:27806/BK:0/0 Cyc:47840 TpHR:1460 ZcI:15 ZcIHR:1703 PZcI:22 Ph:1 FL:4 Frc:0 eRPM:10593 D%:111 Ia:-1040 Ib:576 Ibus:384,CL,2832,14240,1114,3,17,28106,1,0,1,1,0,1117,12288,13312,0,27806,0,0,47840,,1460,15,1703,22,,4,0,10593,111,-1040,576,384,-1091,604,403,,106,0,0,6364,0,1.7,0.0
1773758103789,27.417,S:CL P:2832 V:14256 D:1117 St:1 Tp:18 ZC:28212 SYN Miss:0 B:011 DC1:1117 IO:0000/3400/3000 FP:27912/BK:0/0 Cyc:54198 TpHR:1468 ZcI:23 ZcIHR:1219 PZcI:23 Ph:0 FL:5 Frc:1 eRPM:10514 D%:111 Ia:-128 Ib:-928 Ibus:976,CL,2832,14256,1117,1,18,28212,1,0,0,1,1,1117,0,13312,12288,27912,0,0,54198,,1468,23,1219,23,,5,1,10514,111,-128,-928,976,-134,-973,1024,,106,0,0,6358,0,1.7,0.0
1773758103888,27.516,S:CL P:2832 V:14224 D:1114 St:0 Tp:17 ZC:28319 SYN Miss:0 B:111 DC1:1117 IO:3000/0000/3400 FP:28019/BK:0/0 Cyc:60539 TpHR:1479 ZcI:23 ZcIHR:953 PZcI:12 Ph:2 FL:4 Frc:1 eRPM:10888 D%:111 Ia:240 Ib:0 Ibus:864,CL,2832,14224,1114,0,17,28319,1,0,1,1,1,1117,12288,0,13312,28019,0,0,60539,,1479,23,953,12,,4,1,10888,111,240,0,864,252,0,906,,107,0,0,6341,0,1.7,0.0
1773758103988,27.616,S:CL P:2848 V:14240 D:1117 St:4 Tp:18 ZC:28426 SYN Miss:0 B:101 DC1:1117 IO:3400/0000/3000 FP:28125/BK:0/0 Cyc:1327 TpHR:1463 ZcI:17 ZcIHR:1344 PZcI:17 Ph:0 FL:4 Frc:1 eRPM:10835 D%:111 Ia:-144 Ib:704 Ibus:160,CL,2848,14240,1117,4,18,28426,1,0,1,0,1,1117,13312,0,12288,28125,0,0,1327,,1463,17,1344,17,,4,1,10835,111,-144,704,160,-151,738,168,,106,0,0,-59212,0,,
1773758104087,27.716,S:CL P:2848 V:14240 D:1114 St:3 Tp:17 ZC:28532 SYN Miss:0 B:010 DC1:1114 IO:3000/3400/0000 FP:28232/BK:0/0 Cyc:7692 TpHR:1435 ZcI:15 ZcIHR:1859 PZcI:24 Ph:1 FL:5 Frc:0 eRPM:10564 D%:111 Ia:-1008 Ib:368 Ibus:400,CL,2848,14240,1114,3,17,28532,1,0,0,1,0,1114,12288,13312,0,28232,0,0,7692,,1435,15,1859,24,,5,0,10564,111,-1008,368,400,-1057,386,420,,107,0,0,6365,0,1.7,0.0
1773758104187,27.815,S:CL P:2832 V:14224 D:1114 St:1 Tp:17 ZC:28638 SYN Miss:0 B:011 DC1:1114 IO:0000/3400/3000 FP:28339/BK:0/0 Cyc:14017 TpHR:1481 ZcI:20 ZcIHR:1266 PZcI:16 Ph:1 FL:5 Frc:1 eRPM:10493 D%:111 Ia:-160 Ib:-144 Ibus:1008,CL,2832,14224,1114,1,17,28638,1,0,0,1,1,1114,0,13312,12288,28339,0,0,14017,,1481,20,1266,16,,5,1,10493,111,-160,-144,1008,-168,-151,1057,,107,0,0,6325,0,1.7,0.0
1773758104287,27.915,S:CL P:2832 V:14240 D:1117 St:0 Tp:17 ZC:28745 SYN Miss:0 B:010 DC1:1117 IO:3000/3000/3400 FP:28445/BK:0/0 Cyc:20364 TpHR:1493 ZcI:14 ZcIHR:1109 PZcI:14 Ph:0 FL:4 Frc:0 eRPM:10820 D%:111 Ia:768 Ib:-480 Ibus:704,CL,2832,14240,1117,0,17,28745,1,0,0,1,0,1117,12288,12288,13312,28445,0,0,20364,,1493,14,1109,14,,4,0,10820,111,768,-480,704,806,-504,738,,106,0,0,6347,0,1.7,0.0
1773758104386,28.014,S:CL P:2848 V:14240 D:1114 St:4 Tp:17 ZC:28852 SYN Miss:0 B:011 DC1:1114 IO:3400/0000/3400 FP:28552/BK:0/0 Cyc:26713 TpHR:1465 ZcI:16 ZcIHR:1625 PZcI:21 Ph:1 FL:4 Frc:0 eRPM:10880 D%:111 Ia:-160 Ib:-128 Ibus:832,CL,2848,14240,1114,4,17,28852,1,0,0,1,1,1114,13312,0,13312,28552,0,0,26713,,1465,16,1625,21,,4,0,10880,111,-160,-128,832,-168,-134,873,,107,0,0,6349,0,1.7,0.0
1773758104486,28.114,S:CL P:2848 V:14208 D:1114 St:3 Tp:17 ZC:28958 SYN Miss:0 B:110 DC1:1114 IO:3000/3000/0000 FP:28658/BK:0/0 Cyc:33057 TpHR:1422 ZcI:25 ZcIHR:1938 PZcI:25 Ph:2 FL:4 Frc:1 eRPM:10622 D%:111 Ia:-1104 Ib:656 Ibus:144,CL,2848,14208,1114,3,17,28958,1,0,1,1,0,1114,12288,12288,0,28658,0,0,33057,,1422,25,1938,25,,4,1,10622,111,-1104,656,144,-1158,688,151,,106,0,0,6344,0,1.7,0.0
1773758104585,28.213,S:CL P:2864 V:14240 D:1119 St:2 Tp:17 ZC:29065 SYN Miss:0 B:001 DC1:1117 IO:0000/3400/0000 FP:28765/BK:0/0 Cyc:39410 TpHR:1466 ZcI:22 ZcIHR:1109 PZcI:14 Ph:1 FL:4 Frc:1 eRPM:10451 D%:111 Ia:-144 Ib:-144 Ibus:896,CL,2864,14240,1119,2,17,29065,1,0,0,0,1,1117,0,13312,0,28765,0,0,39410,,1466,22,1109,14,,4,1,10451,111,-144,-144,896,-151,-151,940,,107,0,0,6353,0,1.7,0.0
1773758104685,28.313,S:CL P:2848 V:14240 D:1117 St:0 Tp:17 ZC:29171 SYN Miss:0 B:111 DC1:1117 IO:3000/3000/3400 FP:28871/BK:0/0 Cyc:45745 TpHR:1493 ZcI:14 ZcIHR:1109 PZcI:23 Ph:1 FL:4 Frc:1 eRPM:10813 D%:111 Ia:640 Ib:-1168 Ibus:800,CL,2848,14240,1117,0,17,29171,1,0,1,1,1,1117,12288,12288,13312,28871,0,0,45745,,1493,14,1109,23,,4,1,10813,111,640,-1168,800,671,-1225,839,,106,0,0,6335,0,1.7,0.0
1773758104784,28.412,S:CL P:2848 V:14256 D:1114 St:5 Tp:17 ZC:29278 SYN Miss:0 B:011 DC1:1114 IO:3400/0000/3400 FP:28978/BK:0/0 Cyc:52108 TpHR:1445 ZcI:18 ZcIHR:1640 PZcI:21 Ph:2 FL:4 Frc:0 eRPM:10850 D%:111 Ia:-144 Ib:-160 Ibus:880,CL,2848,14256,1114,5,17,29278,1,0,0,1,1,1114,13312,0,13312,28978,0,0,52108,,1445,18,1640,21,,4,0,10850,111,-144,-160,880,-151,-168,923,,107,0,0,6363,0,1.7,0.0
1773758104884,28.512,S:CL P:2832 V:14240 D:1114 St:3 Tp:17 ZC:29384 SYN Miss:0 B:100 DC1:1114 IO:3000/3000/0000 FP:29084/BK:0/0 Cyc:58445 TpHR:1449 ZcI:24 ZcIHR:1328 PZcI:24 Ph:0 FL:4 Frc:1 eRPM:10680 D%:111 Ia:-1040 Ib:896 Ibus:208,CL,2832,14240,1114,3,17,29384,1,0,1,0,0,1114,12288,12288,0,29084,0,0,58445,,1449,24,1328,24,,4,1,10680,111,-1040,896,208,-1091,940,218,,106,0,0,6337,0,1.7,0.0
1773758104983,28.611,S:CL P:2848 V:14240 D:1114 St:1 Tp:17 ZC:29491 SYN Miss:0 B:011 DC1:1117 IO:0000/3400/3000 FP:29191/BK:0/0 Cyc:64798 TpHR:1465 ZcI:23 ZcIHR:1110 PZcI:14 Ph:1 FL:5 Frc:1 eRPM:10521 D%:111 Ia:-176 Ib:-128 Ibus:1024,CL,2848,14240,1114,1,17,29491,1,0,0,1,1,1117,0,13312,12288,29191,0,0,64798,,1465,23,1110,14,,5,1,10521,111,-176,-128,1024,-185,-134,1074,,107,0,0,6353,0,1.7,0.0
1773758105083,28.711,S:CL P:2848 V:14224 D:1117 St:0 Tp:17 ZC:29597 SYN Miss:0 B:110 DC1:1114 IO:3000/0000/3400 FP:29297/BK:0/0 Cyc:5636 TpHR:1484 ZcI:22 ZcIHR:1031 PZcI:13 Ph:2 FL:4 Frc:1 eRPM:10658 D%:111 Ia:352 Ib:-880 Ibus:960,CL,2848,14224,1117,0,17,29597,1,0,1,1,0,1114,12288,0,13312,29297,0,0,5636,,1484,22,1031,13,,4,1,10658,111,352,-880,960,369,-923,1007,,106,0,0,-59162,0,,
